"Date","Price","Open","High","Low","Vol.","Change %"
"10/08/1999","10,649.77","10,534.52","10,655.78","10,506.34","96.89M","1.07%"
"10/07/1999","10,537.06","10,588.34","10,604.49","10,508.24","87.86M","-0.48%"
"10/06/1999","10,588.35","10,399.77","10,588.34","10,399.45","100.93M","1.81%"
"10/05/1999","10,400.60","10,401.23","10,509.19","10,277.11","118.51M","-0.01%"
"10/04/1999","10,401.23","10,274.58","10,417.69","10,274.27","99.08M","1.25%"
"10/01/1999","10,273.00","10,335.69","10,335.69","10,184.03","109.89M","-0.62%"
"09/30/1999","10,336.96","10,214.11","10,402.81","10,212.84","108.36M","1.21%"
"09/29/1999","10,213.48","10,274.27","10,334.74","10,210.94","88.81M","-0.60%"
"09/28/1999","10,275.54","10,300.51","10,310.04","10,081.13","93.52M","-0.27%"
"09/27/1999","10,303.40","10,279.33","10,402.49","10,279.33","79.05M","0.23%"
"09/24/1999","10,279.34","10,311.94","10,336.32","10,187.20","94.08M","-0.38%"
"09/23/1999","10,318.60","10,524.07","10,572.51","10,302.13","99.50M","-1.95%"
"09/22/1999","10,524.07","10,599.42","10,606.07","10,493.99","95.22M","-0.70%"
"09/21/1999","10,598.48","10,822.95","10,822.95","10,551.93","82.63M","-2.08%"
"09/20/1999","10,823.90","10,801.87","10,845.74","10,780.84","57.67M","0.19%"
"09/17/1999","10,803.64","10,745.38","10,860.94","10,745.06","102.60M","0.62%"
"09/16/1999","10,737.47","10,795.77","10,799.25","10,626.65","77.20M","-0.59%"
"09/15/1999","10,801.42","10,910.40","11,013.86","10,798.57","78.97M","-1.00%"
"09/14/1999","10,910.34","11,028.74","11,028.74","10,886.27","74.20M","-1.09%"
"09/13/1999","11,030.33","11,027.40","11,042.36","10,982.20","67.13M","0.02%"
"09/10/1999","11,028.43","11,031.28","11,142.41","11,023.99","70.47M","-0.46%"
"09/09/1999","11,079.40","11,031.28","11,095.86","10,981.89","78.92M","0.39%"
"09/08/1999","11,036.35","11,034.13","11,117.39","10,967.00","86.07M","0.02%"
"09/07/1999","11,034.13","11,079.08","11,104.10","11,011.96","79.91M","-0.40%"
"09/03/1999","11,078.46","10,856.19","11,087.00","10,856.19","79.66M","2.17%"
"09/02/1999","10,843.21","10,828.44","10,934.08","10,732.71","77.11M","-0.87%"
"09/01/1999","10,937.88","10,828.44","10,941.36","10,828.44","80.83M","1.00%"
"08/31/1999","10,829.28","10,909.70","10,982.20","10,782.11","100.53M","-0.78%"
"08/30/1999","10,914.13","11,087.69","11,123.09","10,902.10","70.32M","-1.59%"
"08/27/1999","11,090.17","11,198.45","11,229.16","11,077.82","60.34M","-0.97%"
"08/26/1999","11,198.45","11,326.04","11,333.00","11,191.48","74.93M","-1.13%"
"08/25/1999","11,326.04","11,282.38","11,334.59","11,198.45","99.87M","0.38%"
"08/24/1999","11,283.30","11,297.54","11,365.93","11,194.01","83.02M","-0.15%"
"08/23/1999","11,299.76","11,099.66","11,299.76","11,098.08","85.07M","1.79%"
