    A   B  C   D   E   F   G   H   I   J  K   L   M   N   O  P  Q  R  S  T  U  V  W  X   Y   Z
A 815   8  0   0   0   0   0   0   0   0  0   0   0   0   0  0  0  0  0  0  0  0  0  0   0   0
B   9 651  0   0   0   0   0   0   0   0  0   0   0   0   0  0  0  0  0  0  0  0  0  0   0   0
C   0   1 66   1   0   0   0   0   0   0  0   0   0   0   0  0  0  0  0  0  0  0  0  0   0   0
D   0   0  2 178  12   1   0   0   0   0  0   0   0   0   0  0  0  0  0  0  0  0  0  0   0   0
E   0   0  0  14 233   9   0   0   0   0  0   0   0   0   0  0  0  0  0  0  0  0  0  0   0   0
F   0   0  0   0  11 178  11   0   0   0  0   0   0   0   0  0  0  0  0  0  0  0  0  0   0   0
G   0   0  0   0   0  12 141  15   0   0  0   0   0   0   0  0  0  0  0  0  0  0  0  0   0   0
H   0   0  0   0   0   0  16 225  12   0  0   0   0   0   0  0  0  0  0  0  0  0  0  0   0   0
I   0   0  0   0   0   0   0  13 136   6  0   0   0   0   0  0  0  0  0  0  0  0  0  0   0   0
J   0   0  0   0   0   0   0   0   7 236  5   0   0   0   0  0  0  0  0  0  0  0  0  0   0   0
K   0   0  0   0   0   0   0   0   0   6 64  15   0   0   0  0  0  0  0  0  0  0  0  0   0   0
L   0   0  0   0   0   0   0   0   0   0 16 216   6   0   0  0  0  0  0  0  0  0  0  0   0   0
M   0   0  0   0   0   0   0   0   0   0  0   7 125   6   0  0  0  0  0  0  0  0  0  0   0   0
N   0   0  0   0   0   0   0   0   0   0  0   0   7 194   6  0  0  0  0  0  0  0  0  0   0   0
O   0   0  0   0   0   0   0   0   0   0  0   0   0   7 143  0  0  0  0  0  0  0  0  0   0   0
P   0   0  0   0   0   0   0   0   0   0  0   0   0   0   1 27  0  0  0  0  0  0  0  0   0   0
Q   0   0  0   0   0   0   0   0   0   0  0   0   0   0   0  1 34  1  0  0  0  0  0  0   0   0
R   0   0  0   0   0   0   0   0   0   0  0   0   0   0   0  0  2 55  5  0  0  0  0  0   0   0
S   0   0  0   0   0   0   0   0   0   0  0   0   0   0   0  0  0  6 44  0  0  0  0  0   0   0
T   0   0  0   0   0   0   0   0   0   0  0   0   0   0   0  0  0  0  1 46  1  0  0  0   0   0
U   0   0  0   0   0   0   0   0   0   0  0   0   0   0   0  0  0  0  0  2 79  7  0  0   0   0
V   0   0  0   0   0   0   0   0   0   0  0   0   0   0   0  0  0  0  0  0  8 93  1  0   0   0
W   0   0  0   0   0   0   0   0   0   0  0   0   0   0   0  0  0  0  0  0  0  2 44  5   0   0
X   0   0  0   0   0   0   0   0   0   0  0   0   0   0   0  0  0  0  0  0  0  0  6 90   3   0
Y   0   0  0   0   0   0   0   0   0   0  0   0   0   0   0  0  0  0  0  0  0  0  0  4 374   8
Z   0   0  0   0   0   0   0   0   0   0  0   0   0   0   0  0  0  0  0  0  0  0  0  0   9 198
